word,freq_zipf,language,source,n_density,old20
anybody,4.56,en,wordfreq,0,3.55
anymore,4.94,en,wordfreq,0,3.45
anyone,5.38,en,wordfreq,0,2.75
anything,5.55,en,wordfreq,0,3.5
anytime,4.19,en,wordfreq,0,3.2
anyway,4.91,en,wordfreq,0,2.85
anyways,4.04,en,wordfreq,0,3.5
anywhere,4.71,en,wordfreq,0,3.6
ap,4.4,en,wordfreq,28,1.0
apart,4.78,en,wordfreq,0,1.95
apartment,4.65,en,wordfreq,0,3.45
apartments,4.01,en,wordfreq,0,3.5
apollo,3.82,en,wordfreq,0,2.85
apologies,3.85,en,wordfreq,0,4.0
apologize,4.16,en,wordfreq,0,4.65
apology,4.05,en,wordfreq,0,3.4
app,4.86,en,wordfreq,2,1.75
apparatus,3.78,en,wordfreq,0,4.35
apparent,4.32,en,wordfreq,0,3.4
apparently,4.8,en,wordfreq,0,4.55
appeal,4.67,en,wordfreq,1,2.65
appealed,3.83,en,wordfreq,1,3.0
appealing,3.95,en,wordfreq,1,3.2
appeals,4.22,en,wordfreq,1,2.7
appear,4.85,en,wordfreq,1,2.6
appearance,4.69,en,wordfreq,0,4.1
appearances,4.09,en,wordfreq,0,4.55
appeared,4.83,en,wordfreq,1,2.95
appearing,4.15,en,wordfreq,1,3.05
appears,4.84,en,wordfreq,1,2.7
appetite,3.87,en,wordfreq,0,3.9
applause,3.83,en,wordfreq,0,3.65
apple,4.76,en,wordfreq,1,2.2
apples,3.96,en,wordfreq,0,2.5
applicable,4.13,en,wordfreq,0,4.65
applicants,3.94,en,wordfreq,0,4.6
application,4.86,en,wordfreq,0,3.7
applications,4.64,en,wordfreq,0,4.15
applied,4.67,en,wordfreq,1,2.6
applies,4.23,en,wordfreq,1,2.55
apply,4.81,en,wordfreq,1,2.45
applying,4.24,en,wordfreq,0,3.05
appointed,4.59,en,wordfreq,0,3.6
appointment,4.49,en,wordfreq,0,4.5
appointments,3.95,en,wordfreq,0,4.85
appreciate,4.74,en,wordfreq,0,4.35
appreciated,4.16,en,wordfreq,0,4.35
appreciation,4.12,en,wordfreq,0,4.45
approach,4.93,en,wordfreq,0,3.7
approached,4.16,en,wordfreq,1,4.05
approaches,4.25,en,wordfreq,1,4.35
approaching,4.17,en,wordfreq,0,4.5
appropriate,4.67,en,wordfreq,0,5.15
approval,4.5,en,wordfreq,0,3.65
approve,4.08,en,wordfreq,0,2.85
approved,4.64,en,wordfreq,0,3.0
approximately,4.64,en,wordfreq,0,6.2
apps,4.35,en,wordfreq,0,1.95
apr,4.02,en,wordfreq,2,1.75
april,5.19,en,wordfreq,0,2.8
ar,4.06,en,wordfreq,30,1.0
arab,4.39,en,wordfreq,2,1.85
arabia,4.12,en,wordfreq,1,2.8
